NM_001168502	ZFP57
NM_001168501	ZFP57
NM_001013745	ZFP57
NM_152810	CDC5L
NM_020493	SRF
NM_001110824	FOXP4
NM_001110825	FOXP4
NM_028767	FOXP4
NM_010913	NFYA
NM_001110832	NFYA
NM_027787	RFX2
NM_009056	RFX2
NM_001164075	TGIF1
NM_001164074	TGIF1
NM_001164076	TGIF1
NM_009372	TGIF1
NM_001164077	TGIF1
NM_011380	SIX2
NM_011381	SIX3
NM_001110859	CREM
NM_001110850	CREM
NM_001110856	CREM
NM_013498	CREM
NM_001110857	CREM
NM_001110855	CREM
NM_001110854	CREM
NM_001110858	CREM
NM_001110853	CREM
NM_011546	ZEB1
NM_177595	MKX
NM_008173	NR3C1
NM_013685	TCF4
NM_001083967	TCF4
NM_145356	ZBTB7C
NM_010754	SMAD2
NM_175028	ADNP2
NM_001164111	NFATC1
NM_001164112	NFATC1
NM_198429	NFATC1
NM_001164110	NFATC1
NM_016791	NFATC1
NM_001164109	NFATC1
NM_001110851	CREM
NM_001110852	CREM
NM_010258	GATA6
NM_007913	EGR1
NM_138945	POU4F3
NM_001033281	PRDM6
NM_009880	CDX1
NM_194268	ONECUT2
NM_013833	RAX
NM_008540	SMAD4
NM_001081300	TSHZ1
NM_053009	ZFP91
NM_001043354	RORB
NM_177360	DMRT3
NM_011265	RFX3
NM_001166414	RFX3
NM_175459	GLIS3
NM_001142918	TCF7L2
NM_001142923	TCF7L2
NM_001142919	TCF7L2
NM_001142920	TCF7L2
NM_009333	TCF7L2
NM_001142922	TCF7L2
NM_001142921	TCF7L2
NM_011533	TBX10
NM_001001320	TBX10
NM_153553	NPAS4
NM_010235	FOSL1
NM_019935	OVOL1
NM_009045	RELA
NM_028967	BATF2
NM_007953	ESRRA
NM_054048	RCOR2
NM_001098237	ZBTB3
NM_133759	ZBTB3
NM_008023	FOXB2
NM_146095	RORB
NM_010638	KLF9
NM_008022	FOXD4
NM_015826	DMRT1
NM_145831	DMRT2
NM_008245	HHEX
NM_172154	LCOR
NM_008699	NKX2-3
NM_011037	PAX2
NM_021901	TLX1
NM_010691	LBX1
NM_008852	PITX3
NM_001177370	NFKB2
NM_019408	NFKB2
NM_001177369	NFKB2
NM_010847	MXI1
NM_001008543	MXI1
NM_001008542	MXI1
NM_001142924	TCF7L2
NM_009501	VAX1
NM_010132	EMX2
